Date,Lobbyist,Lobbyist_Firm,Official,Official_Department,Lobbyist_Client,MunicipalDecision,DesiredOutcome,FileNumber,LobbyingSubjectArea
10/07/2015,"Lindert, Noemi","Cisco Systems, Inc.","Renteria, Jason","Technology, Department Of","Cisco Systems, Inc.",City-Wide Smartnet Renewal,Contract Renewal,,Technology
10/01/2015,"Cleaveland, Ken",Boma San Francisco,"Kim, Jane",Board Of Supervisors,Boma San Francisco,Transportation Sustainability Fee,A fair fee increase for commercial development,n/a,Transportation
10/02/2015,"Bozeman, John",Building Owners And Managers Association Of San Francisco,"Tang, Katy",Board Of Supervisors,Boma San Francisco,Building Code Mandatory Disability Access Improvements; Administrative Fee,Monitor,150732,Accessibility
10/05/2015,"Carroll, Kevin",Hotel Council Of San Francisco,"Kennedy, Sean",Municipal Transportation Agency,San Francisco Hotel Council,Powell Street Safety & Sidewalk Improvement Pilot,MONITOR,,Transportation
10/01/2015,"Linscheid, Bob",San Francisco Chamber Of Commerce,"Randolph, Alex",Community College Board,San Francisco Chamber Of Commerce,Facilities Master Plan,MONITOR,,Planning and Building Permits
10/05/2015,"Flood, Karin",Karin Flood,"Tano, Crezia","Economic And Workforce Development, Office Of",Usbid,Central Subway Mitigation,Construction Impacts,,Public Works
10/30/2015,"Flood, Karin",Karin Flood,"Sainez, Hector",Police Department,Usbid,Holiday Safe Shopper/svcf,Setting up a meeting time to discuss Union Square BID Holiday Safe Shopper program and discussion of SVCF grant.,,Public Safety
10/08/2015,"Cleaveland, Ken",Boma San Francisco,"Elliott, Jason",Mayor Office Of The,Boma San Francisco,Uncivil Behavior On City Streets,Seeking plan to combat uncivil behavior on SF streets.,n/a,Public Safety
10/09/2015,"Flood, Karin",Karin Flood,"Kern, Dennis",Recreation And Parks Department,Usbid,Maintenance,Pruning of palm fronds in Union Square park,,Recreation and Parks
10/08/2015,"Lazarus, Jim",San Francisco Chamber Of Commerce,"Farrell, Mark",Board Of Supervisors,San Francisco Chamber Of Commerce,Retail Workers' Bill Of Rights Olse Rules,OPPOSE,,Economic Development
10/08/2015,"Lapointe, Denise",Lapointe And Associates,"Bohee, Tiffany",Community Development Mayor's Office Of,Lennar Urban,Design For Development Agreement Amendments - Candlestick,support,,Economic Development
10/19/2015,"Wright, Christopher",Committee On Jobs,"Patel, Seema",City Administrator,Committee On Jobs,Retail Employer Requirements,A workable solution for scheduling and hiring needs of both employees and employers,,Economic Development
10/30/2015,"Kelly, Susanne",Hanson Bridgett Llp,"Teague, Corey","Planning, Department Of",Lion Enterprises Llc,Letter Of Determination,Support letter of determination,,Planning and Building Permits
10/09/2015,"Lindert, Noemi","Cisco Systems, Inc.","Gines, Jolie","Technology, Department Of","Cisco Systems, Inc.",City-Wide Smartnet Renewal,Contract Renewal,,Technology
10/13/2015,"Lazarus, Jim",San Francisco Chamber Of Commerce,"Rufo, Todd",Mayor Office Of The,San Francisco Chamber Of Commerce,Retail Workers' Bill Of Rights Olse Rules,OPPOSE,,Economic Development
10/15/2015,"Workman, Dee Dee",San Francisco Chamber Of Commerce,"Power, Andres",Board Of Supervisors,San Francisco Chamber Of Commerce,Transportation Sustainability Fee Amendment,SUPPORT,,Transportation
10/01/2015,"Cleaveland, Ken",Boma San Francisco,"Farrell, Mark",Board Of Supervisors,Boma San Francisco,Transportation Sustainability Fee,A fair fee increase for commercial development,n/a,Transportation
10/08/2015,"Workman, Dee Dee",San Francisco Chamber Of Commerce,"Farrell, Mark",Board Of Supervisors,San Francisco Chamber Of Commerce,Transportation Sustainability Fee Amendment,SUPPORT,,Transportation
10/29/2015,"Berg, Jessica",Bergdavis Public Affairs,"Bradley, Stacy",Recreation And Parks Department,6th Street Associates,301 6th Street,Permits for residential building development.,,Planning and Building Permits
10/13/2015,"Lindert, Noemi","Cisco Systems, Inc.","Gines, Jolie","Technology, Department Of","Cisco Systems, Inc.",City-Wide Smartnet Renewal,Contract Renewal,,Technology
10/02/2015,"Lazarus, Jim",San Francisco Chamber Of Commerce,"Elliot, Nicole",Mayor Office Of The,San Francisco Chamber Of Commerce,Transportation Sustainability Fee Amendment,SUPPORT,,Transportation
10/09/2015,"Noyola, David",Platinum Advisors,"Kim, Jane",Board Of Supervisors,Tishman Speyer,Transbay Block 1,SUPPORT,,Planning and Building Permits
10/27/2015,"Shannon, Carl","Tishman Speyer Properties, L.p.","Rich, Ken",Mayor Office Of The,"Tishman Speyer Properties, L.p.",Potential Property Development Issues,Resolve Issues Related to Potential Property Development,,Planning and Building Permits
10/29/2015,"Lapointe, Denise",Lapointe And Associates,"Bohee, Tiffany",Community Development Mayor's Office Of,Lennar Urban,Design For Development Agreement Amendments - Candlestick,support,,Economic Development
10/20/2015,"Gladstone, Brett",Hanson Bridgett Llp,"Antonini, Michael",Planning Commission,"Rhmt, Llc",Discretionary Review Approval,Support Discretionary Review Approval,,Planning and Building Permits
10/08/2015,"Flood, Karin",Karin Flood,"Kennedy, Sean",Municipal Transportation Agency,Usbid,Powell St. Improvement Project,Improved pedestrian safety and accessibility for merchant drop off on Powell St.,,Public Safety
10/26/2015,"Bozeman, John",Building Owners And Managers Association Of San Francisco,"Reiskin, Ed",Municipal Transportation Agency,Boma San Francisco,Establishing A New Citywide Transportation Sustainability Fee,Monitor,150790,Transportation
10/13/2015,"Hayward, Boe","Goodyear Peterson Hayward & Associates, Llc","Campos, David",Board Of Supervisors,40 Bernal Heights Boulevard,Subdivision Development,SUPPORT,,Planning and Building Permits
10/20/2015,"Colbruno, Michael",Milo Group Of California,"Kawa, Steve",Mayor Office Of The,Apothecarium,Mcd Application,Informational meeting,,Economic Development
10/19/2015,"Colbruno, Michael",Milo Group Of California,"Farrell, Mark",Board Of Supervisors,Apothecarium,Mcd Application,Informational meeting,,Economic Development
10/05/2015,"Colbruno, Michael",Milo Group Of California,"Wiener, Scott",Board Of Supervisors,Apothecarium,Market Street Lease,Agreement on lease between two parties.,,Economic Development
10/16/2015,"Colbruno, Michael",Milo Group Of California,"Stefani, Catherine",Board Of Supervisors,Apothecarium,Mcd Application,Informational meeting,,Economic Development
10/07/2015,"Smith, Kimberly",Kls Consulting,"Cohen, Malia",Board Of Supervisors,Bay West Development,General Issues In Showplace Square,New parking restrictions in the Showplace Square,,Transportation
10/01/2015,"Cheng, Jay",San Francisco Association Of Realtors,"Lee, Ed",Mayor Office Of The,San Francisco Association Of Realtors,Vacancy Control Legislation,MONITOR,,Housing/Property Tax
10/01/2015,"Cheng, Jay",San Francisco Association Of Realtors,"Elliot, Nicole",Mayor's Office On Housing,San Francisco Association Of Realtors,Vacancy Control Legislation,MONITOR,,Housing/Property Tax
11/17/2015,"Clemens, Alex",Barbary Coast Consulting,"Breed, London",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/17/2015,"Clemens, Alex",Barbary Coast Consulting,"Yee, Norman",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/17/2015,"Clemens, Alex",Barbary Coast Consulting,"Christensen, Julie",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/17/2015,"Clemens, Alex",Barbary Coast Consulting,"Mar, Eric",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/17/2015,"Clemens, Alex",Barbary Coast Consulting,"Tang, Katy",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/10/2015,"Jordan, Taylor",Barbary Coast Consulting,"Switzky, Josh","Planning, Department Of",One Vassar,One Vassar - Informational,Project plans + design layouts,,Planning and Building Permits
01/29/2015,"Lazarus, Jim",San Francisco Chamber Of Commerce,"Elliot, Nicole",Mayor Office Of The,San Francisco Chamber Of Commerce,Retail Workers' Bill Of Rights,MONITOR,,Economic Development
03/26/2015,"Lazarus, Jim",San Francisco Chamber Of Commerce,"Winnicker, Tony",Mayor Office Of The,San Francisco Chamber Of Commerce,Short-Term Rental Policy,MONITOR,,Accessibility
11/17/2015,"Clemens, Alex",Barbary Coast Consulting,"Kim, Jane",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/13/2015,"Clemens, Alex",Barbary Coast Consulting,"Yee, Norman",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/10/2015,"Jordan, Taylor",Barbary Coast Consulting,"Rich, Ken",Mayor Office Of The,One Vassar,One Vassar - Informational,Project plans + design layouts,,Planning and Building Permits
01/22/2015,"Lazarus, Jim",San Francisco Chamber Of Commerce,"Farrell, Mark",Board Of Supervisors,San Francisco Chamber Of Commerce,Short-Term Rental Policy,MONITOR,,Accessibility
03/30/2015,"Lazarus, Jim",San Francisco Chamber Of Commerce,"Farrell, Mark",Board Of Supervisors,San Francisco Chamber Of Commerce,Short-Term Rental Policy,MONITOR,,Accessibility
01/28/2015,"Lazarus, Jim",San Francisco Chamber Of Commerce,"Elliot, Nicole",Mayor Office Of The,San Francisco Chamber Of Commerce,Retail Workers' Bill Of Rights,MONITOR,,Economic Development
11/17/2015,"Clemens, Alex",Barbary Coast Consulting,"Campos, David",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/24/2015,"Clemens, Alex",Barbary Coast Consulting,"Farrell, Mark",Board Of Supervisors,Motivate,Informational Motivate,inform about plans for expansion of the city's bicycle network,,Transportation
11/17/2015,"Clemens, Alex",Barbary Coast Consulting,"Wiener, Scott",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/09/2015,"Clemens, Alex",Barbary Coast Consulting,"Johnston, Conor",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/16/2015,"Clemens, Alex",Barbary Coast Consulting,"Stefani, Catherine",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
03/18/2015,"Lazarus, Jim",San Francisco Chamber Of Commerce,"Elliott, Jason",Mayor Office Of The,San Francisco Chamber Of Commerce,Housing Bond Measure,MONITOR,,Accessibility
11/10/2015,"Clemens, Alex",Barbary Coast Consulting,"Quizon, Dyanna",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/09/2015,"Clemens, Alex",Barbary Coast Consulting,"Yadegar, Danny",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/10/2015,"Clemens, Alex",Barbary Coast Consulting,"Avalos, John",Board Of Supervisors,Motivate,Informational Motivate,inform about plans for expansion of the city's bicycle network,,Transportation
11/17/2015,"Clemens, Alex",Barbary Coast Consulting,"Farrell, Mark",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/10/2015,"Jordan, Taylor",Barbary Coast Consulting,"Wertheim, Steve","Planning, Department Of",One Vassar,One Vassar - Informational,Project plans + design layouts,,Planning and Building Permits
11/17/2015,"Clemens, Alex",Barbary Coast Consulting,"Avalos, John",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/10/2015,"Jordan, Taylor",Barbary Coast Consulting,"Dennis-Phillips, Sarah","Economic And Workforce Development, Office Of",One Vassar,One Vassar - Informational,Project plans + design layouts,,Planning and Building Permits
11/12/2015,"Clemens, Alex",Barbary Coast Consulting,"Avalos, John",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/10/2015,"Clemens, Alex",Barbary Coast Consulting,"Chung-Hagen, Sheila",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/05/2015,"Clemens, Alex",Barbary Coast Consulting,"Yadegar, Danny",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
03/18/2015,"Lazarus, Jim",San Francisco Chamber Of Commerce,"Elliot, Nicole",Mayor Office Of The,San Francisco Chamber Of Commerce,Housing Bond Measure,MONITOR,,Accessibility
11/16/2015,"Clemens, Alex",Barbary Coast Consulting,"Bruss, Andrea",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/09/2015,"Clemens, Alex",Barbary Coast Consulting,"Yee, Norman",Board Of Supervisors,Motivate,Informational Motivate,inform about plans for expansion of the city's bicycle network,,Transportation
11/17/2015,"Clemens, Alex",Barbary Coast Consulting,"Cohen, Malia",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
01/22/2015,"Lazarus, Jim",San Francisco Chamber Of Commerce,"Farrell, Mark",Board Of Supervisors,San Francisco Chamber Of Commerce,Retail Workers' Bill Of Rights,MONITOR,,Economic Development
11/16/2015,"Clemens, Alex",Barbary Coast Consulting,"Kim, Jane",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/13/2015,"Clemens, Alex",Barbary Coast Consulting,"Kim, Jane",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/16/2015,"Clemens, Alex",Barbary Coast Consulting,"Christensen, Julie",Board Of Supervisors,"Paramount Group, Inc.",Informational Paramount,Informational only,,Planning and Building Permits
11/23/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Rufo, Todd","Economic And Workforce Development, Office Of",Kilroy Realty Corporation,Mission Bay Block 40,Approval,TIDF,Planning and Building Permits
11/20/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Leg, Douglas",Assessor-Recorder Office Of The,"The Prado Group, Inc.",2001 Market Street,Approval,Transfer Tax,Housing/Property Tax
11/17/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Hillis, Rich",Planning Commission,Field Storage Corp. - Storage Pro,135 Townsend,Approval,,Planning and Building Permits
11/23/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Rich, Ken",Mayor Office Of The,Kilroy Realty Corporation,Mission Bay Block 40,Approval,TIDF,Planning and Building Permits
11/20/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Reiber, Scott",City Attorney Office Of The,"The Prado Group, Inc.",2001 Market Street,Approval,Transfer Tax,Housing/Property Tax
11/17/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Moore, Kathrin",Planning Commission,Field Storage Corp. - Storage Pro,135 Townsend,Approval,,Planning and Building Permits
11/10/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Rufo, Todd","Economic And Workforce Development, Office Of",Kilroy Realty Corporation,Mission Bay Block 40,Approval,TIDF,Planning and Building Permits
11/13/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Rich, Ken",Mayor Office Of The,Nixon Peabody Llp,Oceanwide Center (50 First Street),Approval,,Planning and Building Permits
11/17/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Fong, Rodney",Planning Commission,Field Storage Corp. - Storage Pro,135 Townsend,Approval,,Planning and Building Permits
11/13/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Buckley, Jeff",Mayor Office Of The,Nixon Peabody Llp,Oceanwide Center (50 First Street),Approval,,Planning and Building Permits
11/11/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Sider, Dan","Planning, Department Of",Brannan Ritch Properties Llc,435 Brannan Street,Approval,,Planning and Building Permits
11/19/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Ginsburg, Philip",Recreation And Parks Department,Nixon Peabody Llp,Oceanwide Center (50 First Street),Approval,,Planning and Building Permits
11/17/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Antonini, Michael",Planning Commission,Field Storage Corp. - Storage Pro,135 Townsend,Approval,,Planning and Building Permits
11/13/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Yanga, Teresa",Mayor's Office On Housing,Nixon Peabody Llp,Oceanwide Center (50 First Street),Approval,,Planning and Building Permits
11/03/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Updike, John",General Services Agency,Police Officers Association,Sale To The City,Approval,,Planning and Building Permits
11/18/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Herrera, Dennis",City Attorney Office Of The,Trinity Properties,"Trinity Plaza, 1177 Market Street",Approval,,Planning and Building Permits
11/30/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Sider, Dan","Planning, Department Of",Brannan Ritch Properties Llc,435 Brannan Street,Approval,,Planning and Building Permits
11/17/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Wu, Cindy",Planning Commission,Field Storage Corp. - Storage Pro,135 Townsend,Approval,,Planning and Building Permits
11/11/2015,"Reuben, James","Reuben, Junius & Rose, Llp","Rahaim, John","Planning, Department Of",Nixon Peabody Llp,Oceanwide Center (50 First Street),Approval,,Planning and Building Permits
11/09/2015,"Silverman, David","Reuben, Junius & Rose, Llp","May, Christopher","Planning, Department Of",Divisadero Hayes Llc,Harding Theater,Approval,2012 Application,Planning and Building Permits
11/18/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Vu, Doug","Planning, Department Of","M. Gaehwiler Construction, Inc.",590 19th Street,Approval,2013.0784,Planning and Building Permits
11/20/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Hilyard, Gretchen","Planning, Department Of",Yangtze River Realty,1033 Polk Street,Approval,2014.0914,Planning and Building Permits
11/05/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Gibson, Lisa","Planning, Department Of",Yangtze River Realty,1033 Polk Street,Approval,2014.0914,Planning and Building Permits
11/17/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Ionin, Jonas","Planning, Department Of",Divisadero Hayes Llc,Harding Theater,Approval,2012 Application,Planning and Building Permits
11/12/2015,"Yaki, Michael",Michael Yaki,"Yuen, Janis",Municipal Transportation Agency,Barneys New York,Construction Impact Of Central Subway,enforcement of prior settlement agreement; mitigation of construction impact on Store Operations in Union Square,n/a,Transportation
11/12/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Greving, Justin","Planning, Department Of",340-350 11th Street Llc,340 11th Street,Approval,2014.0836,Planning and Building Permits
11/03/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Ryan, James",Bureau Chief Of The Department Of Public Works Bureau Of Street Use And Mapping,Double Aa Corporation,1298 Valencia Street,Approval,Map Application,Planning and Building Permits
11/20/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Greving, Justin","Planning, Department Of",340-350 11th Street Llc,340 11th Street,Approval,2014.0836,Planning and Building Permits
11/03/2015,"Yaki, Michael",Michael Yaki,"Yuen, Janis",Municipal Transportation Agency,Barneys New York,Construction Impact Of Central Subway,enforcement of prior settlement agreement; mitigation of construction impact on Store Operations in Union Square,n/a,Transportation
11/05/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Hue, Melinda","Planning, Department Of",Yangtze River Realty,1033 Polk Street,Approval,2014.0914,Planning and Building Permits
11/14/2015,"Yaki, Michael",Michael Yaki,"Yuen, Janis",Municipal Transportation Agency,Barneys New York,Construction Impact Of Central Subway,enforcement of prior settlement agreement; mitigation of construction impact on Store Operations in Union Square,n/a,Transportation
11/14/2015,"Yaki, Michael",Michael Yaki,"Yuen, Janis",Municipal Transportation Agency,Barneys New York,Construction Impact Of Central Subway,enforcement of prior settlement agreement; mitigation of construction impact on Store Operations in Union Square,n/a,Transportation
11/10/2015,"Silverman, David","Reuben, Junius & Rose, Llp","May, Christopher","Planning, Department Of",Divisadero Hayes Llc,Harding Theater,Approval,2012 Application,Planning and Building Permits
11/10/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Greving, Justin","Planning, Department Of",340-350 11th Street Llc,340 11th Street,Approval,2014.0836,Planning and Building Permits
11/18/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Antonini, Michael J.",Planning Commission,Divisadero Hayes Llc,Harding Theater,Approval,2012 Application,Planning and Building Permits
11/18/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Antonini, Michael J.",Planning Commission,Divisadero Hayes Llc,Harding Theater,Approval,2012 Application,Planning and Building Permits
11/02/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Ryan, James",Bureau Chief Of The Department Of Public Works Bureau Of Street Use And Mapping,Double Aa Corporation,1298 Valencia Street,Approval,Map Application,Planning and Building Permits
11/12/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Hue, Melinda","Planning, Department Of",Yangtze River Realty,1033 Polk Street,Approval,2014.0914,Planning and Building Permits
11/03/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Gibson, Lisa","Planning, Department Of",Yangtze River Realty,1033 Polk Street,Approval,2014.0914,Planning and Building Permits
11/13/2015,"Yaki, Michael",Michael Yaki,"Yuen, Janis",Municipal Transportation Agency,Barneys New York,Construction Impact Of Central Subway,enforcement of prior settlement agreement; mitigation of construction impact on Store Operations in Union Square,n/a,Transportation
11/16/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Hue, Melinda","Planning, Department Of",Yangtze River Realty,1033 Polk Street,Approval,2014.0914,Planning and Building Permits
11/17/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Goldstein, Cynthia",Board Of Appeals,Daniel Rabin,660 Third Street,Approval,,Planning and Building Permits
11/03/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Hue, Melinda","Planning, Department Of",Yangtze River Realty,1033 Polk Street,Approval,2014.0914,Planning and Building Permits
11/17/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Sanchez, Scott","Planning, Department Of",Daniel Rabin,660 Third Street,Approval,,Planning and Building Permits
11/16/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Sanchez, Scott","Planning, Department Of",Daniel Rabin,660 Third Street,Approval,,Planning and Building Permits
11/06/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Conner, Kate","Planning, Department Of",Stewart Tsang,529 Stevenson,Approval,2015.001144,Planning and Building Permits
11/03/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Greving, Justin","Planning, Department Of",340-350 11th Street Llc,340 11th Street,Approval,2014.0836,Planning and Building Permits
11/30/2015,"Silverman, David","Reuben, Junius & Rose, Llp","Bendix, Brittany","Planning, Department Of",Brannan Ritch Properties Llc,435 Brannan Street,Approval,,Planning and Building Permits
11/03/2015,"Silverman, David","Reuben, Junius & Rose, Llp","May, Christopher","Planning, Department Of",Divisadero Hayes Llc,Harding Theater,Approval,2012 Application,Planning and Building Permits
11/17/2015,"Prozan, Rebecca","Google, Inc.","Heinicke, Malcolm",Municipal Transportation Agency,"Prozan, Rebecca",Discussion Of Corporate Shuttle Program,Discuss information regarding program,,Transportation
11/09/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp","Teauge, Corey","Planning, Department Of",Kilroy Realty Corporation,100 Hooper,Approval,,Planning and Building Permits
11/20/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp","Hart, Shane","Community Investment And Infrastructure, Office Of","Tishman Speyer Properties, L.p.",Block 1,Approval,,Economic Development
11/18/2015,"Flood, Karin",Karin Flood,"Lazar, David",Police Department,Usbid,Public Safety,Additional Safety presence,,Public Safety
11/04/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp","Sanchez, Scott","Planning, Department Of",Simon Michael,2778 Green Street Land Use Counsel,Approval,,Planning and Building Permits
11/30/2015,"Flood, Karin",Karin Flood,"Funghi, John",Municipal Transportation Agency,Usbid,Transportation,Street closure during Macy's holiday tree lighting,,Transportation
11/13/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp","Rahaim, John","Planning, Department Of",Nixon Peabody Llp,Oceanwide Center (50 First Street),Approval,2006.1523,Planning and Building Permits
11/10/2015,"Flood, Karin",Karin Flood,"Catalona, Karen",District Attorney Office Of The,Usbid,Street Performers,Bad Elmo not welcome in Union Square,,Public Safety
11/02/2015,"Prozan, Rebecca","Google, Inc.","Haney, Matt",Unified School District San Francisco,"Prozan, Rebecca",Donorschoose.org Event - Lawton Elementary,Attendance to event,,Education
11/30/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp","Navarrette, Joy","Planning, Department Of",Tidewater Capital,1028 Market Street,Approval,2014.0241 Street Widening Issues,Planning and Building Permits
11/23/2015,"Flood, Karin",Karin Flood,"Elliott, Jason",Mayor Office Of The,Usbid,Homeless Servicess,Better coordination around homeless services,,Social Services
11/12/2015,"Cuerington, Andre",Trust Company Of The West,"Wong, Cynthia",Retirement Board San Francisco Employees,Trust Company Of The West,None - Informational Email 11-12-15,Provide investment management services.,,City Employee Benefits
11/09/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp","Kirby, Alexandra","Planning, Department Of",Simon Michael,2778 Green Street Land Use Counsel,Approval,,Planning and Building Permits
11/20/2015,"Flood, Karin",Karin Flood,"Dodge, Sam",Mayor Office Of The,Usbid,Homelessness And Business,Effectively and compassionately managing homelessness at Union Square with regard to business,,Social Services
11/05/2015,"Kevlin, John","Reuben, Junius & Rose, Llp","Dwyer, Debra","Planning, Department Of",Boston Properties,4th And Harrison,Informational,,Planning and Building Permits
11/13/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp","Hart, Shane","Community Investment And Infrastructure, Office Of","Tishman Speyer Properties, L.p.",Block 1,Approval,,Economic Development
11/19/2015,"Loper, Mark","Reuben, Junius & Rose, Llp","Li, Michael","Planning, Department Of",Tidewater Capital,430 Main - Entitlments,Approval,2014.002033,Planning and Building Permits
11/25/2015,"Kevlin, John","Reuben, Junius & Rose, Llp","Espiritu, Christopher","Planning, Department Of",Rubicon Point Partners,1125 Mission Street,Approval,2014-002628,Planning and Building Permits
11/24/2015,"Flood, Karin",Karin Flood,"Suhr, Greg",Police Department,Usbid,Security Cameras And Safety,Security cameras at Union Square,,Public Safety
11/13/2015,"Loper, Mark","Reuben, Junius & Rose, Llp","Yeung, Ming","Planning, Department Of",J Street Development Inc.,1196 Columbus,Approval,2014-002849,Planning and Building Permits
11/11/2015,"Kevlin, John","Reuben, Junius & Rose, Llp","Espiritu, Christopher","Planning, Department Of",Rubicon Point Partners,1125 Mission Street,Approval,2014-002628,Planning and Building Permits
11/23/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp","Stacey, Kate",City Attorney Office Of The,Hudson Pacific Properties,875 Howard,Approval,,Planning and Building Permits
11/13/2015,"Loper, Mark","Reuben, Junius & Rose, Llp","Luellen, Mark","Planning, Department Of",J Street Development Inc.,1196 Columbus,Approval,2014-002849,Planning and Building Permits
11/12/2015,"Cuerington, Andre",Trust Company Of The West,"Meiberger, Herb",Retirement Board San Francisco Employees,Trust Company Of The West,None - Informational Email 11-12-15,Provide investment management services.,,City Employee Benefits
11/12/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp","Dean, Randall","Planning, Department Of",Nixon Peabody Llp,Oceanwide Center (50 First Street),Approval,2006.1523,Planning and Building Permits
11/10/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp","Rich, Ken",Mayor Office Of The,One Vassar Llc,One Vassar,Approval,2013.1545,Planning and Building Permits
11/12/2015,"Flood, Karin",Karin Flood,"Curtis, Randal",Municipal Transportation Agency,Usbid,Ellis Street Moratorium,Discussion regarding Ellis Street closure,,Transportation
11/06/2015,"Kevlin, John","Reuben, Junius & Rose, Llp","Boudreaux, Marcelle","Planning, Department Of","Bmw Properties, Llc",4171 24th Street,Approval,2014.000437,Planning and Building Permits
11/18/2015,"Frattin, Daniel","Reuben, Junius & Rose, Llp","Edmundson, Scott","Planning, Department Of",Hudson Pacific Properties,875 Howard,Approval,,Planning and Building Permits
11/12/2015,"Junius, Andrew","Reuben, Junius & Rose, Llp","Yegazu, Lily","Planning, Department Of",Tidewater Capital,1028 Market Street,Approval,2014.0241 Street Widening Issues,Planning and Building Permits
